CMDdriver	GasFeedback	targetVel	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.4946	22.8565	2.5089	0.0000	2.5000	58.5121
0.0000	0.4900	22.8853	2.4854	0.0000	2.4911	58.6915
0.0000	0.4918	22.9143	2.4922	0.0000	2.5000	58.8707
0.0000	0.4918	22.9433	2.4922	0.0000	2.5000	58.8707
0.0000	0.4925	22.9724	2.4968	0.0000	2.5000	59.2301
0.0000	0.4910	23.0012	2.4877	0.0000	2.5000	59.4094
0.0000	0.4939	23.0303	2.5033	0.0000	2.5000	59.5894
0.0000	0.4900	23.0592	2.4829	0.0000	2.4967	59.7686
0.0000	0.4944	23.0882	2.5071	0.0000	2.5000	59.9483
0.0000	0.4900	23.1173	2.4757	0.0000	2.4929	60.1279
0.0000	0.4955	23.1464	2.5134	0.0000	2.5000	60.3086
0.0000	0.4900	23.1754	2.4813	0.0000	2.4866	60.4877
0.0000	0.4917	23.2043	2.4879	0.0000	2.5000	60.6666
0.0000	0.4939	23.2334	2.5016	0.0000	2.5000	60.8464
0.0000	0.4939	23.2623	2.5016	0.0000	2.4984	60.8464
0.0000	0.4900	23.2914	2.4781	0.0000	2.5000	61.2042
0.0000	0.4970	23.3205	2.5195	0.0000	2.5000	61.3851
0.0000	0.4900	23.3495	2.4812	0.0000	2.4805	61.5644
0.0000	0.4900	23.3785	2.4767	0.0000	2.5000	61.7428
0.0000	0.4974	23.4074	2.5227	0.0000	2.5000	61.9228
0.0000	0.4900	23.4363	2.4790	0.0000	2.4773	62.1025
0.0000	0.4900	23.4653	2.4761	0.0000	2.5000	62.2809
0.0000	0.4976	23.4943	2.5200	0.0000	2.5000	62.4617
0.0000	0.4900	23.5234	2.4799	0.0000	2.4800	62.6411
0.0000	0.4900	23.5524	2.4749	0.0000	2.5000	62.8193
0.0000	0.4900	23.5814	2.4749	0.0000	2.5000	62.8193
0.0000	0.4980	23.6103	2.5238	0.0000	2.4721	63.1809
0.0000	0.4900	23.6393	2.4754	0.0000	2.4762	63.3597
0.0000	0.4903	23.6685	2.4744	0.0000	2.5000	63.5379
0.0000	0.4982	23.6975	2.5201	0.0000	2.5000	63.7182
0.0000	0.4900	23.7263	2.4728	0.0000	2.4799	63.8980
0.0000	0.4923	23.7555	2.4886	0.0000	2.5000	64.0765
0.0000	0.4936	23.7843	2.4944	0.0000	2.5000	64.2560
0.0000	0.4918	23.8133	2.4837	0.0000	2.5000	64.4350
0.0000	0.4952	23.8425	2.5021	0.0000	2.5000	64.6148
0.0000	0.4900	23.8713	2.4728	0.0000	2.4979	64.7937
0.0000	0.4900	23.9004	2.4728	0.0000	2.5000	64.7937
0.0000	0.4987	23.9294	2.5243	0.0000	2.4756	65.1550
0.0000	0.4900	23.9585	2.4716	0.0000	2.4757	65.3336
0.0000	0.4913	23.9875	2.4766	0.0000	2.5000	65.5118
0.0000	0.4975	24.0165	2.5129	0.0000	2.5000	65.6919
0.0000	0.4900	24.0455	2.4687	0.0000	2.4871	65.8713
0.0000	0.4959	24.0744	2.5037	0.0000	2.5000	66.0505
0.0000	0.4900	24.1035	2.4686	0.0000	2.4963	66.2286
0.0000	0.4989	24.1325	2.5197	0.0000	2.5000	66.4093
0.0000	0.4900	24.1613	2.4721	0.0000	2.4803	66.5883
0.0000	0.4926	24.1905	2.4827	0.0000	2.5000	66.7667
0.0000	0.4926	24.2193	2.4827	0.0000	2.5000	66.7667
0.0000	0.4955	24.2484	2.5011	0.0000	2.4973	67.1262
0.0000	0.4900	24.2774	2.4675	0.0000	2.4989	67.3042
0.0000	0.5001	24.3064	2.5239	0.0000	2.5000	67.4850
0.0000	0.4900	24.3354	2.4696	0.0000	2.4761	67.6642
0.0000	0.4921	24.3643	2.4779	0.0000	2.5000	67.8422
0.0000	0.4971	24.3934	2.5131	0.0000	2.5000	68.0215
0.0000	0.4900	24.4226	2.4652	0.0000	2.4869	68.1994
0.0000	0.4970	24.4515	2.5049	0.0000	2.5000	68.3792
0.0000	0.4900	24.4805	2.4672	0.0000	2.4951	68.5577
0.0000	0.4989	24.5095	2.5172	0.0000	2.5000	68.7373
0.0000	0.4989	24.5385	2.5172	0.0000	2.4828	68.7373
0.0000	0.4900	24.5675	2.4629	0.0000	2.5000	69.0942
0.0000	0.5019	24.5966	2.5335	0.0000	2.5000	69.2757
0.0000	0.4900	24.6255	2.4669	0.0000	2.4665	69.4546
0.0000	0.4900	24.6544	2.4612	0.0000	2.5000	69.6318
0.0000	0.5024	24.6835	2.5398	0.0000	2.5000	69.8119
0.0000	0.4900	24.7125	2.4497	0.0000	2.4602	69.9923
0.0000	0.4934	24.7415	2.4807	0.0000	1.9648	70.1707
0.0000	0.4000	24.7705	1.9329	0.0000	1.9730	70.3184
0.0000	0.4128	24.7994	1.9798	0.0000	1.6601	70.4592
0.0000	0.3500	24.8284	1.6216	0.0000	1.6819	70.5867
0.0000	0.3500	24.8575	1.6216	0.0000	1.6087	70.5867
0.0000	0.3400	24.8864	1.5668	0.0000	1.5457	70.8209
0.0000	0.3200	24.9154	1.4604	0.0000	1.6382	70.9272
0.0000	0.3600	24.9444	1.7015	0.0000	1.7020	71.0454
0.0000	0.3502	24.9734	1.6706	0.0000	1.5552	71.1669
0.0000	0.3300	25.0026	1.5464	0.0000	1.5715	71.2828
